nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"CREME ADSTRINGENTE SEXY","3104000004693","16665820670","","SEM_IMAGEM","OCULTO"
"CREME DESSENSIBILIZANTE","3104000004692","16665811415","creme-dessensibilizante-3104000004692.jpg","ID_OK","VISIVEL"
"CREME MULTIFUNÇÕES SEXY","3104000004691","16665810318","creme-multifuncoes-sexy-3104000004691.jpg","ID_OK","VISIVEL"
"CREME FEMININO SEXY","3104000004690","16665809574","creme-feminino-sexy-3104000004690.jpg","ID_OK","VISIVEL"
"CREME FACIAL NOTURNO","3104000004665","16662510546","creme-facial-noturno-3104000004665.jpg","ID_OK","VISIVEL"
"SABONETE ÍNTIMO MORANGO","3104000004664","16662509277","","SEM_IMAGEM","OCULTO"
"CREME PARA OS OLHOS FENZZA","3104000004661","16662346657","","SEM_IMAGEM","OCULTO"
"BQ PETUNIA X5 CREME ROSA","3104000004615","16659832833","","SEM_IMAGEM","OCULTO"
"BQ MARGARIDA X7 VERDE CREME","3104000004552","16657613523","","SEM_IMAGEM","OCULTO"
"BQ ROSA X5 CREME","3104000004550","16657606667","","SEM_IMAGEM","OCULTO"
"HT ORQUIDEA CHUVA DE OURO X5 CREME","3104000004543","16657500907","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY","","16654272232","","SEM_IMAGEM","OCULTO"
"MASTURBADOR EGG FUNNY SEXY","3104000004454","16654264980","","SEM_IMAGEM","OCULTO"
"ALGEMA DE COURO MACIO","3104000004449","16654207756","","SEM_IMAGEM","OCULTO"
"VIBRADOR MAGIC ROSE 2 SEXY","3104000004444","16654116890","","SEM_IMAGEM","OCULTO"
"FLOR DECORATIVA C/ IMÃ GELADEIRA","3104000004424","16653517956","","SEM_IMAGEM","OCULTO"
"TOALHA DE GELADEIRA","3104000004413","16653412999","","SEM_IMAGEM","OCULTO"
"PERFUME INTIMO SEXY","3104000004399","16653258801","","SEM_IMAGEM","OCULTO"
"CREME EXCITANTE FEMME 4G","3104000004398","16653246932","","SEM_IMAGEM","OCULTO"
"CREME MASCULINO SEXY","3104000004394","16653073805","","SEM_IMAGEM","OCULTO"
"TESAO DE VACA 10ML SEX","3104000004392","16653033366","","SEM_IMAGEM","OCULTO"
"DURAMAIS GEL MASCULINO","3104000004390","16653017346","","SEM_IMAGEM","OCULTO"
